,0,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
0,3,1,2,3,1,0,1,3,2,0,0,0,5,0,0,0,0
1,8,82,4,42,6,2,18,100,14,19,6,21,109,29,11,8,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,23,19,312,11,11,3,12,21,2,6,1,50,29,4,11,22
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13,13,2,18,11,0,2,22,19,0,2,0,13,6,4,8,0
8,2,11,8,170,5,2,2,14,6,2,3,0,16,4,1,10,7
9,6,24,12,93,2,1,4,22,7,0,4,5,44,4,4,14,16
10,8,16,13,25,3,0,3,64,11,0,8,6,60,20,4,4,1
11,17,12,19,12,2,0,8,18,9,0,8,1,38,6,0,3,0
12,2,4,1,64,1,0,2,1,4,1,1,0,3,10,4,0,4
13,1,8,3,3,4,1,0,22,13,2,3,0,15,5,1,2,0
14,12,1,0,7,0,3,0,1,0,0,2,0,0,0,1,1,1
15,6,20,9,44,1,1,6,8,3,1,3,0,5,6,1,3,2
16,8,16,2,7,11,10,0,13,7,3,7,2,22,7,1,2,0
17,17,5,2,0,5,4,2,12,8,0,0,0,20,0,0,3,0
18,13,6,0,3,4,10,0,4,0,0,2,0,4,4,1,0,0
19,12,1,1,19,0,1,0,2,4,2,3,0,2,1,1,1,0
20,13,1,1,2,0,0,1,3,0,0,1,0,2,2,0,0,0
21,10,1,0,3,1,2,0,5,1,1,2,0,0,0,0,0,1
22,5,5,1,1,0,1,1,0,3,0,1,0,4,2,0,0,0
23,6,2,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0
24,3,6,0,6,0,0,0,4,1,0,0,0,3,1,0,2,0
25,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
26,18,0,0,0,3,0,0,3,1,0,1,1,0,0,1,0,0
27,12,5,1,56,11,1,0,3,4,5,4,1,4,7,0,1,5
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,17,9,59,10,8,2,16,4,0,4,1,19,10,4,5,8
34,6,3,2,20,3,0,0,5,8,0,0,0,5,3,0,0,3
35,17,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5,4,3,0,0,0,0,1,1,0,2,0,4,0,0,0,0
38,11,2,1,1,3,3,0,3,1,0,2,0,1,0,1,0,0
39,6,17,10,55,2,0,2,9,11,4,7,0,26,9,1,4,0
40,1,7,3,1,2,0,1,6,5,3,0,0,3,0,2,0,0
41,17,6,3,1,1,4,1,8,5,0,0,2,17,1,1,1,0
42,17,8,1,1,1,2,1,9,9,0,0,0,12,0,0,0,0
43,1,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0
44,15,14,6,16,5,26,1,12,6,0,5,1,31,9,1,3,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,7,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,7,2,0,0,0,0,1,8,0,0,1,0,1,1,1,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,17,10,3,1,2,2,0,17,10,0,3,2,27,1,4,1,1
53,9,1,2,2,1,2,1,4,4,1,7,0,6,2,3,3,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,13,5,4,6,1,0,1,8,3,1,0,0,4,2,0,1,0
56,19,12,3,40,12,1,1,9,4,2,7,2,77,3,2,6,0
57,15,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
58,6,0,0,15,2,3,0,2,2,0,1,0,5,2,1,5,2
