,name,sweet,vanilla,smokey,chacho,sherry,cereals,fruit,spices,green,Old,flower,smooth,alcohol,rough,balance,salty
0,Old Pulteney 21 Year Old,1,2,3,1,0,1,3,2,0,0,0,5,0,0,0,0
1,Glenkinchie 12 Year Old,82,4,42,6,2,18,100,14,19,6,21,109,29,11,8,1
2,Unnamed: 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"hat mor""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Lagavulin 16 Year Old,23,19,312,11,11,3,12,21,2,6,1,50,29,4,11,22
5,Unnamed: 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6," an Isl""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Singleton of Dufftown 15 Year Old,13,2,18,11,0,2,22,19,0,2,0,13,6,4,8,0
8,Ardbeg 10 Year Old,11,8,170,5,2,2,14,6,2,3,0,16,4,1,10,7
9,Oban 14 Year Old,24,12,93,2,1,4,22,7,0,4,5,44,4,4,14,16
10,The Glenlivet 12 Year Old,16,13,25,3,0,3,64,11,0,8,6,60,20,4,4,1
11,Compass Box Hedonism,12,19,12,2,0,8,18,9,0,8,1,38,6,0,3,0
12,Ileach The Ileach Cask Strength,4,1,64,1,0,2,1,4,1,1,0,3,10,4,0,4
13,Arran 10 Year Old Whisky,8,3,3,4,1,0,22,13,2,3,0,15,5,1,2,0
14,Laphroaig 25 Year Old Cask Strength,1,0,7,0,3,0,1,0,0,2,0,0,0,1,1,1
15,BenRiach Curiositas 10 Year Old,20,9,44,1,1,6,8,3,1,3,0,5,6,1,3,2
16,Auchentoshan Three Wood,16,2,7,11,10,0,13,7,3,7,2,22,7,1,2,0
17,The Dalmore 15 Year Old,5,2,0,5,4,2,12,8,0,0,0,20,0,0,3,0
18,Glenfarclas 21 Year Old,6,0,3,4,10,0,4,0,0,2,0,4,4,1,0,0
19,Ileach The Ileach Peaty,1,1,19,0,1,0,2,4,2,3,0,2,1,1,1,0
20,Auchentoshan 18 Year Old,1,1,2,0,0,1,3,0,0,1,0,2,2,0,0,0
21,Isle of Jura Jura 18 Year Old,1,0,3,1,2,0,5,1,1,2,0,0,0,0,0,1
22,Glengoyne 21 Year Old,5,1,1,0,1,1,0,3,0,1,0,4,2,0,0,0
23,Finlaggan Cask Strength,2,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0
24,Dewar's White Label,6,0,6,0,0,0,4,1,0,0,0,3,1,0,2,0
25,Talisker 10 Year Old (Old Bottling),0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Isle of Jura Jura 16 Year Old,0,0,0,3,0,0,3,1,0,1,1,0,0,1,0,0
27,Ardbeg Corryvreckan,5,1,56,11,1,0,3,4,5,4,1,4,7,0,1,5
28,Glendullan 12 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Bruichladdich 36 Year Old 1966 - Legacy Series 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Brora 30 Year Old (2007 Release),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Rare Malts Rosebank 20 Year Old 1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Dailuaine 16 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Bunnahabhain 12 Year Old,17,9,59,10,8,2,16,4,0,4,1,19,10,4,5,8
34,Talisker 18 Year Old,3,2,20,3,0,0,5,8,0,0,0,5,3,0,0,3
35,Glenkinchie 1995 Amontillado Finish,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
36,Ardbeg Alligator Exclusive Committee Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Glengoyne 10 Year Old,4,3,0,0,0,0,1,1,0,2,0,4,0,0,0,0
38,Glenfarclas 15 Year Old,2,1,1,3,3,0,3,1,0,2,0,1,0,1,0,0
39,Johnnie Walker Black Label 12 Year Old,17,10,55,2,0,2,9,11,4,7,0,26,9,1,4,0
40,Glen Garioch 1797 Founder's Reserve,7,3,1,2,0,1,6,5,3,0,0,3,0,2,0,0
41,The Macallan 15 Year Old Fine Oak,6,3,1,1,4,1,8,5,0,0,2,17,1,1,1,0
42,Glengoyne 12 Year Old,8,1,1,1,2,1,9,9,0,0,0,12,0,0,0,0
43,Edradour 2003 Chardonnay,4,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0
44,Glenmorangie Lasanta 12 Year Old,14,6,16,5,26,1,12,6,0,5,1,31,9,1,3,0
45,Arran Founder's Reserve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Arran 12 Year Old Batch 3,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0
47,Dufftown 15 Year Old Flora and Fauna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Glen Grant 10 Year Old,2,0,0,0,0,1,8,0,0,1,0,1,1,1,0,0
49,Chivas Regal Chivas Revolve 1801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Port Ellen 22 Year Old 1978 Rare Malts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Glen Grant 1960 Gordon and MacPhail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Glenfiddich 18 Year Old,10,3,1,2,2,0,17,10,0,3,2,27,1,4,1,1
53,Tomatin 18 Year Old,1,2,2,1,2,1,4,4,1,7,0,6,2,3,3,0
54,Talisker 20 Year Old (2002 Release),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
